BackendId,Version,N,Precision,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Trial
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512141,81.8975,0.108795,1,6
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512259,81.8786,0.109832,1,6
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00823712,509.195,1,1,7
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,7
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00622784,673.477,0.903864,1,7
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0062144,674.933,1.00767,1,7
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,7
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.051216,81.8944,0.110303,1,7
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512166,81.8934,0.109683,1,7
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00563712,744.051,1,1,8
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,8
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00625728,670.308,0.889997,1,8
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00627936,667.951,0.897009,1,8
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,8
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512166,81.8934,0.110002,1,8
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.051223,81.8832,0.109819,1,8
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00558784,750.613,1,1,9
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,9
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00620672,675.768,0.908383,1,9
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00618848,677.76,0.959564,1,9
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,9
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512202,81.8878,0.109207,1,9
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512074,81.9082,0.111503,1,9
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.0056976,736.153,1,1,10
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,10
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00621504,674.864,0.900113,1,10
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0061936,677.2,0.989822,1,10
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,10
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512205,81.8872,0.109869,1,10
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512131,81.899,0.108378,1,10
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00568832,5898.83,1,1,1
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823584,4074.2,0.678984,1,1
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821536,4084.35,0.684883,1,1
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821632,4083.88,0.672418,1,1
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00821984,4082.13,0.681862,1,1
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00828288,4051.06,0.681386,1,1
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00825696,4063.78,0.682905,1,1
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00559584,5996.32,1,1,2
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.008176,4104.02,0.678434,1,2
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.0082304,4076.89,0.677216,1,2
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822496,4079.59,0.689842,1,2
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.0083088,4038.42,0.690545,1,2
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.008264,4060.31,0.682982,1,2
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824352,4070.4,0.699468,1,2
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00566752,5920.48,1,1,3
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00812928,4127.6,0.69123,1,3
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.0082192,4082.44,0.676893,1,3
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.0082272,4078.48,0.676507,1,3
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00826368,4060.47,0.891148,1,3
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824128,4071.51,0.677759,1,3
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822848,4077.84,0.678308,1,3
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00574368,5841.97,1,1,4
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00815776,4113.19,0.684972,1,4
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822528,4079.43,0.675926,1,4
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.008224,4080.06,0.699066,1,4
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00826944,4057.64,0.699946,1,4
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00834496,4020.92,0.774944,1,4
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00826144,4061.57,0.6885,1,4
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00557824,6015.24,1,1,5
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00816128,4111.42,0.685226,1,5
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.0082208,4081.65,0.679875,1,5
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822688,4078.63,0.703217,1,5
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.0082624,4061.1,0.677459,1,5
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00833984,4023.39,0.659926,1,5
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00835712,4015.07,0.682838,1,5
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00555488,6040.53,1,1,6
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823904,4072.61,0.680662,1,6
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.0082128,4085.63,0.682486,1,6
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00830112,4042.16,0.675918,1,6
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00826272,4060.94,0.682894,1,6
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823936,4072.46,0.684131,1,6
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824736,4068.51,0.684243,1,6
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00568192,5905.47,1,1,7
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823936,4072.46,0.747126,1,7
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822176,4081.17,0.677422,1,7
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00823584,4074.2,0.683219,1,7
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00825056,4066.93,0.667261,1,7
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00824128,4071.51,0.673798,1,7
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00826464,4060,0.696209,1,7
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00569504,5891.87,1,1,8
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00809632,4144.41,0.691198,1,8
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822048,4081.81,0.675231,1,8
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822304,4080.54,0.685216,1,8
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00929856,3608.56,0.605788,1,8
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00830112,4042.16,0.669288,1,8
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823104,4076.57,0.675297,1,8
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00566944,5918.47,1,1,9
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822432,4079.9,0.680207,1,9
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822112,4081.49,0.677436,1,9
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822144,4081.33,0.678305,1,9
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.0082704,4057.17,0.677268,1,9
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00827616,4054.35,0.674284,1,9
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00831296,4036.4,0.688121,1,9
cublas_tc,cuBLAS Tensor Core,256,fp16->fp32,cuBLAS Tensor Core,0.00559648,5995.63,1,1,10
cutlass,CUTLASS official Blackwell auto-schedule GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823712,4073.56,0.695583,1,10
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00822496,4079.59,0.680699,1,10
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,256,fp16->fp32,cuBLAS Tensor Core,0.00821728,4083.4,0.682893,1,10
tc4a,tc4a warp-specialized TMA/TCGen05 pipeline,256,fp16->fp32,cuBLAS Tensor Core,0.00824416,4070.09,0.706478,1,10
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00823328,4075.46,0.684442,1,10
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,256,fp16->fp32,cuBLAS Tensor Core,0.00822048,4081.81,0.680836,1,10
