mode,requested_bytes,elapsed_cycles,bytes_per_cycle,ops,bytes_per_op,sm_count,blocks,blocks_per_sm,threads_per_block,iters,unroll,occupancy_blocks_per_sm,l2_cache_bytes,working_set_bytes,touched_footprint_bytes,index_stride_elements,stream_period_iters,requested_to_working_set_ratio
read-unique,1342177280,1509055,889.415747,83886080,16,20,20,1,256,2048,8,4,33554432,16777216,16777216,40961,1048576,80.000000
read-unique,2684354560,2878846,932.441180,167772160,16,20,40,2,256,2048,8,4,33554432,16777216,16777216,81921,1048576,160.000000
read-unique,4026531840,4238044,950.092033,251658240,16,20,60,3,256,2048,8,4,33554432,16777216,16777216,122881,1048576,240.000000
read-unique,5368709120,5677843,945.554345,335544320,16,20,80,4,256,2048,8,4,33554432,16777216,16777216,163841,1048576,320.000000
write-unique,1342177280,3966961,338.338915,83886080,16,20,20,1,256,2048,8,5,33554432,16777216,16777216,40961,1048576,80.000000
write-unique,2684354560,7828432,342.898113,167772160,16,20,40,2,256,2048,8,5,33554432,16777216,16777216,81921,1048576,160.000000
write-unique,4026531840,13080640,307.823764,251658240,16,20,60,3,256,2048,8,5,33554432,16777216,16777216,122881,1048576,240.000000
write-unique,5368709120,17703347,303.259554,335544320,16,20,80,4,256,2048,8,5,33554432,16777216,16777216,163841,1048576,320.000000
write-unique,6710886400,17074703,393.030930,419430400,16,20,100,5,256,2048,8,5,33554432,16777216,16777216,204801,1048576,400.000000
