mode,expected_requested_bytes,app_bytes_per_cycle,tma_bytes,tma_to_expected,tma_bytes_per_cycle_elapsed,tma_pct_peak_elapsed,tma_estimated_peak_bytes_per_cycle,lts_bytes,lts_to_expected,lts_bytes_per_cycle_elapsed,lts_pct_peak_elapsed,lts_estimated_peak_bytes_per_cycle,lts_read_miss_sector_bytes,dram_proxy_to_expected,dram_bytes,dram_to_expected,tma_pipe_pct_peak,tma_inst,tma_inst_per_cycle,missing_metric_count,missing_metrics
l2-hit,2684354560,775.178214,2705326080.0,1.0078125,753.86,29.45,2559.7962648556877,2705532960.0,1.0078895688056946,753.92,73.62,1024.069546318935,16878944.0,0.006287896633148193,,,0.23,82560.0,0.02,2,dram__bytes.sum;dram__bytes_read.sum
dram-stream,2684354560,164.159391,2705326080.0,1.0078125,157.32,6.15,2558.0487804878044,2705663584.0,1.0079382300376891,157.34,15.37,1023.6824983734548,2705591808.0,1.007911491394043,,,0.05,82560.0,0.0,2,dram__bytes.sum;dram__bytes_read.sum
