phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
collector,v3_collector_bf16_n256_q16_batch_ring_in1_pingpong_fill_use_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,1,4,batch,ring,pingpong,fill_use_lastuse,1,0,0,20,none,0,285336.0,,,,,148.6125,0.314208,,,,,222.2568357305072,128.14860983806904,7196,0.000000000,1,1361638aade6f3d09b3b1949b93b703f053e9e0ad51df68224e619f2c587fb86,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n256_q16_batch_ring_in1_pingpong_fill_use_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,2,4,batch,ring,pingpong,fill_use_lastuse,1,0,0,20,none,0,285391.0,,,,,148.64114583333333,0.314272,,,,,222.21400282419557,128.12251298238468,7198,0.000000000,1,1361638aade6f3d09b3b1949b93b703f053e9e0ad51df68224e619f2c587fb86,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_fill_use_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,0,5,batch,ring,pingpong,fill_use_lastuse,1,0,0,20,none,0,285400.0,,,,,148.64583333333334,0.315232,,,,,222.2069953749124,127.73233174297025,7200,0.000000000,1,faf64a1b042f27ea458f0da5bde463efb4d7e74b43afed78b83ec28e9da978d1,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_fill_use_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,1,5,batch,ring,pingpong,fill_use_lastuse,1,0,0,20,none,0,285362.0,,,,,148.62604166666668,0.317152,,,,,222.2365853897856,126.95905559479365,7186,0.000000000,1,faf64a1b042f27ea458f0da5bde463efb4d7e74b43afed78b83ec28e9da978d1,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_fill_use_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,2,5,batch,ring,pingpong,fill_use_lastuse,1,0,0,20,none,0,285364.0,,,,,148.62708333333333,0.314816,,,,,222.23502782411234,127.90111811343769,7200,0.000000000,1,faf64a1b042f27ea458f0da5bde463efb4d7e74b43afed78b83ec28e9da978d1,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,0,6,batch,ring,pingpong,discard,1,0,0,20,none,0,297208.0,,,,,154.79583333333332,0.323296,,,,,213.37876665500255,124.5462931802435,7196,0.000000000,1,b4ffa469bc6f3dfc337b050f8d4c2ffba6179fe477c92cdaa755877df32b4ef9,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,1,6,batch,ring,pingpong,discard,1,0,0,20,none,0,297202.0,,,,,154.79270833333334,0.323424,,,,,213.38307440730546,124.49700207776789,7191,0.000000000,1,b4ffa469bc6f3dfc337b050f8d4c2ffba6179fe477c92cdaa755877df32b4ef9,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,2,6,batch,ring,pingpong,discard,1,0,0,20,none,0,297174.0,,,,,154.778125,0.322816,,,,,213.40317955137397,124.73148295003966,7196,0.000000000,1,b4ffa469bc6f3dfc337b050f8d4c2ffba6179fe477c92cdaa755877df32b4ef9,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n128_q16_batch_ring_in1_pingpong_fill_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,16,120,0,7,batch,ring,pingpong,fill_lastuse,1,0,0,20,none,0,164228.0,,,,,85.53541666666666,0.236064,,,,,193.0787578244879,85.28474989833266,4760,0.000000000,1,f0489df47a84479130e3a56ea1af934be7415a1c520baa1226f3247eb50dfceb,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n128_q16_batch_ring_in1_pingpong_fill_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,16,120,1,7,batch,ring,pingpong,fill_lastuse,1,0,0,20,none,0,164158.0,,,,,85.49895833333333,0.235712,,,,,193.16109016922718,85.4121096931849,4760,0.000000000,1,f0489df47a84479130e3a56ea1af934be7415a1c520baa1226f3247eb50dfceb,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
