phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
calibration,v2_calibration_bf16_n256_q4_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,4,500,1,4,batch,same,same,discard,0,0,0,20,none,0,425320.0,,,,,212.66,0.403424,,,,,155.31902567478602,103.96763702704847,19988,0.000000000,1,9baa93de745943143d83b8ce2cc0329378b2fc27bb440a912d38db9b3e789c2d,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q4_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,4,500,2,4,batch,same,same,discard,0,0,0,20,none,0,425290.0,,,,,212.645,0.40352,,,,,155.32998189470712,103.94290245836638,19987,0.000000000,1,9baa93de745943143d83b8ce2cc0329378b2fc27bb440a912d38db9b3e789c2d,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q4_batch_same_in1_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,4,500,0,5,batch,same,same,discard,1,10000000,0,20,none,0,319606.0,,,,,159.803,0.332512,,,,,103.34644531078892,63.06996439226254,10000,0.000000000,1,c24b4508ab4fb2809073cff1c539ada4d174b73b39108dc28fcff6a274d9cfcb,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q4_batch_same_in1_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,4,500,1,5,batch,same,same,discard,1,10000000,0,20,none,0,319609.0,,,,,159.8045,0.3352,,,,,103.34547525257425,62.56420047732697,10000,0.000000000,1,c24b4508ab4fb2809073cff1c539ada4d174b73b39108dc28fcff6a274d9cfcb,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n128_q4_batch_same_in1_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,4,500,2,5,batch,same,same,discard,1,10000000,0,20,none,0,319605.0,,,,,159.8025,0.334784,,,,,103.34676866757405,62.641942267252915,10000,0.000000000,1,c24b4508ab4fb2809073cff1c539ada4d174b73b39108dc28fcff6a274d9cfcb,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q32_batch_ring_in0_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,32,500,0,6,batch,ring,same,discard,0,10000000,1,1,none,0,2239145.0,,,,,139.9465625,1.519168,,,,,11.800984393596663,11.043687070817711,500,0.000000000,1,b30cb7e25701f5d11fe750c92a727c245fc89a10b8cce29de66c0c88b6d96c1c,32,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q32_batch_ring_in0_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,32,500,1,6,batch,ring,same,discard,0,10000000,1,1,none,0,2239146.0,,,,,139.946625,1.519136,,,,,11.800979123290753,11.043919701725189,500,0.000000000,1,b30cb7e25701f5d11fe750c92a727c245fc89a10b8cce29de66c0c88b6d96c1c,32,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q32_batch_ring_in0_same_discard_h10000000_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,32,500,2,6,batch,ring,same,discard,0,10000000,1,1,none,0,2239145.0,,,,,139.9465625,1.52048,,,,,11.800984393596663,11.034157634431232,500,0.000000000,1,b30cb7e25701f5d11fe750c92a727c245fc89a10b8cce29de66c0c88b6d96c1c,32,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q1_batch_same_in1_same_discard_h32_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,1,500,0,7,batch,same,same,discard,1,32,0,20,none,0,249036.0,,,,,498.072,0.289632,,,,,66.31600250566183,36.20373439398962,10000,0.000000000,1,c66b97bbb1680654f31cfa0d3e42df9d0feec6ee218051b8809a978cf9f675b4,1,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q1_batch_same_in1_same_discard_h32_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,1,500,1,7,batch,same,same,discard,1,32,0,20,none,0,248918.0,,,,,497.836,0.289504,,,,,66.34743971910429,36.219741350724,10000,0.000000000,1,c66b97bbb1680654f31cfa0d3e42df9d0feec6ee218051b8809a978cf9f675b4,1,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q1_batch_same_in1_same_discard_h32_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,1,500,2,7,batch,same,same,discard,1,32,0,20,none,0,249522.0,,,,,499.044,0.290784,,,,,66.18683723278909,36.06030593155057,10000,0.000000000,1,c66b97bbb1680654f31cfa0d3e42df9d0feec6ee218051b8809a978cf9f675b4,1,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n256_q4_batch_same_in1_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,4,500,0,8,batch,same,same,discard,1,10000000,0,20,none,0,447266.0,,,,,223.633,0.413536,,,,,147.69798732745164,101.42536562717636,10012,0.000000000,1,bd29770273e804a0e612bf7360f9c24d40c8bad62ed98656923a491e5d4a6e2e,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n256_q4_batch_same_in1_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,4,500,1,8,batch,same,same,discard,1,10000000,0,20,none,0,447263.0,,,,,223.6315,0.41424,,,,,147.698978006229,101.2529934337582,10008,0.000000000,1,bd29770273e804a0e612bf7360f9c24d40c8bad62ed98656923a491e5d4a6e2e,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n256_q4_batch_same_in1_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,4,500,2,8,batch,same,same,discard,1,10000000,0,20,none,0,447266.0,,,,,223.633,0.412672,,,,,147.69798732745164,101.6377171215881,10000,0.000000000,1,bd29770273e804a0e612bf7360f9c24d40c8bad62ed98656923a491e5d4a6e2e,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n256_q2_batch_same_in0_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,2,500,0,9,batch,same,same,discard,0,10000000,0,20,none,0,319372.0,,,,,319.372,0.334048,,,,,103.42216600077653,62.779959766261136,10000,0.000000000,1,91554b60a283973dce439745564fe13b6dc675b3e2946338fc1a293b1fdb7e9b,2,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n256_q2_batch_same_in0_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,2,500,1,9,batch,same,same,discard,0,10000000,0,20,none,0,319438.0,,,,,319.438,0.332256,,,,,103.40079765087434,63.11855918328036,10000,0.000000000,1,91554b60a283973dce439745564fe13b6dc675b3e2946338fc1a293b1fdb7e9b,2,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n256_q2_batch_same_in0_same_discard_h10000000_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,2,500,2,9,batch,same,same,discard,0,10000000,0,20,none,0,319434.0,,,,,319.434,0.34672,,,,,103.40209245102275,60.48546377480388,10000,0.000000000,1,91554b60a283973dce439745564fe13b6dc675b3e2946338fc1a293b1fdb7e9b,2,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
